,junsi_name,start,end,place
143,Vague,2021.05.18.,2021.07.07.,021갤러리
144,김리윤 : moonlight,2021.05.02.,2021.06.30.,던바우
145,"미래는 예측하는 것이 아니라, 상상하는 것이다",2021.05.14.,2021.08.29.,수창청춘맨숀
146,가정의 달 기념전 <일상은 아름다워>,2021.04.30.,2021.06.12.,대구문화예술회관
147,"비단길, 물질은 존재하지 않는다",2021.04.30.,2021.06.30.,이강하미술관
148,유리상자-아트스타2021 Ver.2 David Mrugala - 비 분리의 대화,2021.04.16.,2021.06.27.,봉산문화회관
149,현대 미술로 세계를 보다 - DTC 7년의 시간,2021.04.08.,2021.06.20.,dtc갤러리
150,내 창가에 찾아 온 친구,2021.04.14.,2021.07.25.,"관사16호, 마당집, 팔남매집, 핑크집, 양갱갱갱"
151,잔니 로다리 탄생 100주년 특별전,2021.05.01.,2021.08.22.,대구MBC 특별전시장 엠가
152,무의식의 그림자,2021.04.24.,2021.06.13.,드영미술관
153,"이응노 : 문자, 문양, 패턴",2021.04.27.,2021.07.11.,이응노미술관
154,"빛의 과학, 문화재의 비밀을 밝히다",2021.03.16.,2021.06.13.,국립대구박물관
155,허달재 : 가지 끝 흰 것 하나,2021.02.23.,2021.06.13.,광주시립미술관
156,"불심 깃든 쇳물, 강원과 전북의 철불",2021.05.25.,2021.08.29.,국립익산박물관
157,"오색영롱 - 유리, 빛깔을 벗고 투명을 입다",2021.05.15.,2021.08.15.,국립춘천박물관
158,이일청 : BLUE & BLUE,2021.06.01.,2021.07.31.,문화공간 기린
159,임창민展,2021.04.20.,2021.06.13.,예울마루 장도 전시관
160,권기윤 개인전,2021.05.15.,2021.07.15.,갤러리 희
161,우리가 머물던 자리,2021.05.03.,2021.07.17.,우민아트센터
162,구혜선 : 서태지의 Lyrics 아래로; 구혜선의 Newage,2021.05.04.,2021.06.20.,비오케이아트센터
163,"이경모 : 사람, 사랑",2021.05.05.,2021.06.06.,소집
164,김주영 : 당신의 안녕을 위하여,2021.04.28.,2021.06.30.,모산조형미술관
165,"사이의 거리, 9시 47분",2021.05.04.,2021.06.27.,천안시립미술관
166,박영근 : Rhyzometic images 횡단하는 이미지,2021.04.27.,2021.06.27.,이상원미술관
167,창원역사민속관 기획전시 션븨家전,2021.05.18.,2021.08.15.,창원역사민속관
168,네거티브 스페이스 Space in Perspective,2021.03.19.,2021.06.30.,우양미술관
169,멀티 페르소나 Me and Myselves,2021.03.19.,2021.06.30.,우양미술관
170,관계의 초상,2021.04.16.,2021.06.20.,소아르갤러리
171,스튜디오,2021.04.29.,2021.06.06.,쉐마미술관
172,천눈이 : 보이지 않는 세계,2021.05.03.,2021.06.19.,프로젝트스페이스 우민
173,2021 아미의 작가들展,2021.04.01.,2021.06.29.,아미미술관
174,신소장품 2017-2020 : 이어진 세계들,2021.04.01.,2021.06.06.,경남도립미술관
175,"거장, 중원을 거닐다",2021.03.11.,2021.06.06.,청주시립미술관
176,산을 등지고 물을 바라보다,2021.03.23.,2021.07.18.,전남도립미술관
177,N ARTIST 2021 : 의심하는 돌멩이의 노래,2021.03.04.,2021.06.06.,경남도립미술관
178,아이뮤지엄 디지털전시 <미디어 포레스트> - 여수,2021.01.01.,2021.08.31.,여수세계박람회국제관D블럭 3층
179,이룸갤러리 소장전,2021.05.05.,2021.06.13.,이룸갤러리
180,강홍구 : 집 꽃 마을,2021.05.19.,2021.09.26.,은평역사한옥박물관
181,2021 예술곶 산양 레지던시 프리뷰전 산양시선1,2021.05.14.,2021.07.15.,예술곶 산양
182,거인별에서 온 텔레파시 : 우주선을 고쳐줘!,2021.05.04.,2021.12.31.,DMC홍보관
183,[BTS X JAMES JEAN] SEVEN PHASES,2021.05.14.,2021.11.14.,HYBE INSIGHT
184,"각자성석, 돌에 새긴 축성의 기록",2021.04.13.,2021.09.12.,한양도성박물관
185,"모래섬, 비행장, 빌딩숲 여의도",2021.05.21.,2021.09.26.,서울역사박물관
186,정원 만들기 Gardening,2021.04.24.,2021.10.24.,피크닉
187,"이리자 추모 한복전 손끝의 정성, 예술이 되다",2021.04.22.,2021.08.25.,경운박물관
188,드로잉 너머,2021.03.25.,2021.08.27.,숙명여자대학교 문신미술관
189,움직임을 만드는 움직임,2021.04.23.,2021.09.26.,국립현대미술관 서울
190,Solid City,2021.04.21.,2021.08.31.,세화미술관
191,마블 어벤져스 스테이션,2021.04.29.,2022.01.31.,롯데몰 김포공항점
192,정상화 개인전,2021.05.22.,2021.09.26.,국립현대미술관 서울
193,국립현대미술관 다원예술 2021: 멀티버스,2021.02.12.,2021.12.05.,국립현대미술관 서울
194,"자연의 빛, 옻칠",2021.04.07.,2021.10.30.,스페이스 씨
195,김환기 : 파리통신,2021.04.01.,2021.08.29.,환기미술관
196,21세기 한국영화: 웰메이드 영화의 시대,2021.02.26.,2021.08.29.,한국영화박물관
197,소장품 상설전_오늘의 미술관,2021.04.09.,2021.08.29.,소마미술관
198,당신의 안녕_Dead Point and Second Wind,2021.04.09.,2021.08.29.,소마미술관
199,The Beatles by Robert Whitaker,2021.04.30.,2021.08.29.,갤러리아 포레 G층 3관
200,SeMA 소장품 하이라이트 <자연을 들이다: 풍경과 정물>,2021.03.30.,2021.08.22.,서울시립 북서울미술관
201,피카소 : into the myth,2021.05.01.,2021.08.29.,예술의전당 한가람미술관 1층
202,마르첼로 바렌기展,2021.04.24.,2021.08.22.,대원뮤지엄
